block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;34.2;5.56;5.56;5.56;5.56;0;1;
80;sobel;sobel.c:204-214;30.39;4.94;4.94;4.94;4.94;0;1;
76;sobel;sobel.c:209-214;0.64;0.1;0.1;0.1;0.1;0;1;
84;sobel;sobel.c:209-214;0.18;0.03;0.03;0.03;0.03;0;1;
77;sobel;sobel.c:204-214;0.1;0.02;0.02;0.02;0.02;0;1;
79;sobel;sobel.c:204-204;0.04;0.01;0.01;0.01;0.01;0;1;
81;sobel;sobel.c:204-204;0.03;0;0;0;0;0;1;
85;sobel;sobel.c:204-214;0.02;0;0;0;0;0;1;
86;sobel;sobel.c:204-214;0.01;0;0;0;0;0;1;
73;sobel;sobel.c:204-204;0.01;0;0;0;0;0;1;
94;sobel;sobel.c:204-204;0.01;0;0;0;0;0;1;
83;sobel;sobel.c:209-214;0.01;0;0;0;0;0;1;
75;sobel;sobel.c:204-313;0.01;0;0;0;0;0;1;
